""	"DayOfWeek"	"Status"	"TimeOfDay"	"Years"	"ArrDep"	"Month"	"NumberOfFlights"
"1"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"Apr"	17
"2"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"Aug"	29
"3"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"Dec"	48
"4"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"Feb"	106
"5"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"Jan"	65
"6"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"Jul"	33
"7"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"Jun"	22
"8"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"Mar"	55
"9"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"May"	19
"10"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"Nov"	85
"11"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"Oct"	29
"12"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Arriving"	"Sept"	22
"13"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"Apr"	16
"14"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"Aug"	16
"15"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"Dec"	28
"16"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"Feb"	60
"17"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"Jan"	56
"18"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"Jul"	11
"19"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"Jun"	24
"20"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"Mar"	53
"21"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"May"	13
"22"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"Nov"	103
"23"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"Oct"	22
"24"	"Fri"	"Cancelled"	"Evening"	"1988-1994"	"Departing"	"Sept"	17
"25"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"Apr"	136
"26"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"Aug"	138
"27"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"Dec"	166
"28"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"Feb"	177
"29"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"Jan"	261
"30"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"Jul"	173
"31"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"Jun"	200
"32"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"Mar"	96
"33"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"May"	125
"34"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"Nov"	131
"35"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"Oct"	90
"36"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Arriving"	"Sept"	486
"37"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Departing"	"Apr"	98
"38"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Departing"	"Aug"	126
"39"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Departing"	"Dec"	150
"40"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Departing"	"Feb"	131
"41"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Departing"	"Jan"	205
"42"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Departing"	"Jul"	123
"43"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Departing"	"Jun"	156
"44"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Departing"	"Mar"	78
"45"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Departing"	"May"	95
"46"	"Fri"	"Cancelled"	"Evening"	"1995-2001"	"Departing"	"Nov"	75
