""	"Year"	"Month"	"DayOfWeek"	"TimeOfDay"	"Status"	"dummy"	"NumberOfFlights"
"1"	2001	"Apr"	"Fri"	"Evening"	"Cancelled"	0	17
"2"	2001	"Apr"	"Fri"	"Evening"	"Long Delay"	0	128
"3"	2001	"Apr"	"Fri"	"Evening"	"Medium Delay"	0	200
"4"	2001	"Apr"	"Fri"	"Evening"	"On Time"	0	687
"5"	2001	"Apr"	"Fri"	"Evening"	"Short Delay"	0	123
"6"	2001	"Apr"	"Fri"	"Mid-Day"	"Cancelled"	0	18
"7"	2001	"Apr"	"Fri"	"Mid-Day"	"Long Delay"	0	96
"8"	2001	"Apr"	"Fri"	"Mid-Day"	"Medium Delay"	0	156
"9"	2001	"Apr"	"Fri"	"Mid-Day"	"On Time"	0	793
"10"	2001	"Apr"	"Fri"	"Mid-Day"	"Short Delay"	0	126
"11"	2001	"Apr"	"Fri"	"Morning"	"Cancelled"	0	24
"12"	2001	"Apr"	"Fri"	"Morning"	"Long Delay"	0	37
"13"	2001	"Apr"	"Fri"	"Morning"	"Medium Delay"	0	86
"14"	2001	"Apr"	"Fri"	"Morning"	"On Time"	0	448
"15"	2001	"Apr"	"Fri"	"Morning"	"Short Delay"	0	84
"16"	2001	"Apr"	"Fri"	"Night"	"Cancelled"	0	2
"17"	2001	"Apr"	"Fri"	"Night"	"Long Delay"	0	36
"18"	2001	"Apr"	"Fri"	"Night"	"Medium Delay"	0	27
"19"	2001	"Apr"	"Fri"	"Night"	"On Time"	0	129
"20"	2001	"Apr"	"Fri"	"Night"	"Short Delay"	0	17
"21"	2001	"Apr"	"Mon"	"Evening"	"Cancelled"	0	37
"22"	2001	"Apr"	"Mon"	"Evening"	"Long Delay"	0	133
"23"	2001	"Apr"	"Mon"	"Evening"	"Medium Delay"	0	210
"24"	2001	"Apr"	"Mon"	"Evening"	"On Time"	0	925
"25"	2001	"Apr"	"Mon"	"Evening"	"Short Delay"	0	145
"26"	2001	"Apr"	"Mon"	"Mid-Day"	"Cancelled"	0	30
"27"	2001	"Apr"	"Mon"	"Mid-Day"	"Long Delay"	0	106
"28"	2001	"Apr"	"Mon"	"Mid-Day"	"Medium Delay"	0	239
"29"	2001	"Apr"	"Mon"	"Mid-Day"	"On Time"	0	944
"30"	2001	"Apr"	"Mon"	"Mid-Day"	"Short Delay"	0	173
"31"	2001	"Apr"	"Mon"	"Morning"	"Cancelled"	0	19
"32"	2001	"Apr"	"Mon"	"Morning"	"Long Delay"	0	64
"33"	2001	"Apr"	"Mon"	"Morning"	"Medium Delay"	0	127
"34"	2001	"Apr"	"Mon"	"Morning"	"On Time"	0	529
"35"	2001	"Apr"	"Mon"	"Morning"	"Short Delay"	0	111
"36"	2001	"Apr"	"Mon"	"Night"	"Cancelled"	0	4
